% 
%                                                                                                                                                                                                                                                                
% 
%   caldt      vwretd      vwretx     vwindd     vwindx

19771230      0.0069      0.0043     100.26      81.67
19780131     -0.0569     -0.0589      94.55      76.86
19780228     -0.0113     -0.0190      93.49      75.39
19780331      0.0326      0.0294      96.53      77.61
19780428      0.0826      0.0810     104.51      83.90
19780531      0.0208      0.0126     106.68      84.96
19780630     -0.0124     -0.0153     105.36      83.65
19780731      0.0574      0.0555     111.41      88.30
19780831      0.0393      0.0321     115.79      91.13
19780929     -0.0063     -0.0088     115.06      90.32
19781031     -0.1060     -0.1087     102.87      80.51
19781130      0.0337      0.0252     106.33      82.54
19781229      0.0165      0.0134     108.08      83.65
19790131      0.0477      0.0451     113.24      87.42
19790228     -0.0273     -0.0347     110.14      84.38
19790330      0.0644      0.0613     117.24      89.56
19790430      0.0077      0.0055     118.13      90.05
19790531     -0.0136     -0.0220     116.52      88.08
19790629      0.0461      0.0430     121.89      91.87
19790731      0.0140      0.0117     123.60      92.94
19790831      0.0644      0.0566     131.57      98.21
19790928      0.0015     -0.0009     131.76      98.12
19791031     -0.0706     -0.0735     122.46      90.91
19791130      0.0632      0.0551     130.20      95.91
19791231      0.0259      0.0229     133.57      98.11
19800131      0.0651      0.0627     142.26     104.26
19800229      0.0029     -0.0042     142.67     103.82
19800331     -0.1159     -0.1189     126.13      91.47
19800430      0.0506      0.0481     132.52      95.87
19800530      0.0587      0.0509     140.30     100.75
19800630      0.0364      0.0331     145.40     104.08
19800731      0.0683      0.0658     155.32     110.93
19800829      0.0203      0.0137     158.47     112.45
19800930      0.0282      0.0253     162.94     115.29
19801031      0.0188      0.0160     166.01     117.13
19801128      0.1067      0.1004     183.72     128.89
19801231     -0.0350     -0.0376     177.30     124.05
19810130     -0.0418     -0.0436     169.89     118.64
19810227      0.0168      0.0100     172.74     119.83
19810331      0.0443      0.0411     180.38     124.76
19810430     -0.0160     -0.0178     177.49     122.53
19810529      0.0112      0.0047     179.49     123.10
19810630     -0.0076     -0.0108     178.12     121.77
19810731     -0.0012     -0.0030     177.90     121.41
19810831     -0.0546     -0.0617     168.20     113.91
19810930     -0.0622     -0.0652     157.74     106.49
19811030      0.0575      0.0542     166.82     112.25
19811130      0.0472      0.0402     174.69     116.76
19811231     -0.0284     -0.0315     169.72     113.09
19820129     -0.0251     -0.0269     165.46     110.05
19820226     -0.0518     -0.0599     156.88     103.46
19820331     -0.0092     -0.0133     155.44     102.09
19820430      0.0419      0.0400     161.95     106.17
19820528     -0.0277     -0.0367     157.47     102.28
19820630     -0.0225     -0.0261     153.92      99.61
19820730     -0.0204     -0.0227     150.78      97.35
19820831      0.1249      0.1152     169.60     108.56
19820930      0.0125      0.0093     171.72     109.57
19821029      0.1164      0.1136     191.71     122.02
19821130      0.0472      0.0398     200.76     126.87
19821231      0.0160      0.0135     203.99     128.59
19830131      0.0382      0.0359     211.77     133.21
19830228      0.0279      0.0214     217.67     136.05
19830331      0.0338      0.0307     225.03     140.22
19830429      0.0732      0.0718     241.51     150.29
19830531      0.0072      0.0014     243.24     150.51
19830630      0.0388      0.0356     252.69     155.87
19830729     -0.0299     -0.0312     245.15     151.01
19830831      0.0100      0.0042     247.61     151.64
19830930      0.0167      0.0135     251.73     153.69
19831031     -0.0213     -0.0231     246.38     150.14
19831130      0.0275      0.0216     253.16     153.39
19831230     -0.0084     -0.0116     251.03     151.61
19840131     -0.0097     -0.0118     248.58     149.83
19840229     -0.0366     -0.0419     239.49     143.56
19840330      0.0161      0.0125     243.34     145.35
19840430      0.0049      0.0030     244.52     145.79
19840531     -0.0516     -0.0575     231.90     137.41
19840629      0.0225      0.0183     237.11     139.92
19840731     -0.0176     -0.0197     232.94     137.17
19840831      0.1129      0.1066     259.25     151.79
19840928      0.0019     -0.0012     259.75     151.61
19841031      0.0016     -0.0015     260.16     151.37
19841130     -0.0099     -0.0149     257.58     149.13
19841231      0.0241      0.0204     263.78     152.16
19850131      0.0802      0.0779     284.95     164.01
19850228      0.0164      0.0114     289.62     165.88
19850329      0.0000     -0.0034     289.62     165.32
19850430     -0.0031     -0.0050     288.72     164.49
19850531      0.0586      0.0532     305.65     173.24
19850628      0.0165      0.0133     310.70     175.54
19850731     -0.0028     -0.0050     309.81     174.67
19850830     -0.0042     -0.0094     308.51     173.02
19850930     -0.0372     -0.0401     297.03     166.08
19851031      0.0440      0.0413     310.10     172.94
19851129      0.0685      0.0636     331.34     183.94
19851231      0.0442      0.0411     346.00     191.50
19860131      0.0067      0.0047     348.32     192.40
19860228      0.0727      0.0680     373.65     205.48
19860331      0.0554      0.0527     394.33     216.31
19860430     -0.0129     -0.0148     389.23     213.10
19860530      0.0515      0.0460     409.27     222.91
19860630      0.0146      0.0118     415.26     225.53
19860731     -0.0557     -0.0577     392.12     212.53
19860829      0.0722      0.0681     420.45     227.00
19860930     -0.0784     -0.0808     387.49     208.66
19861031      0.0525      0.0498     407.85     219.05
19861128      0.0179      0.0133     415.17     221.96
19861231     -0.0259     -0.0288     404.41     215.57
19870130      0.1292      0.1274     456.64     243.04
19870227      0.0420      0.0383     475.84     252.35
19870331      0.0252      0.0226     487.84     258.06
19870430     -0.0153     -0.0174     480.40     253.57
19870529      0.0064      0.0028     483.46     254.29
19870630      0.0476      0.0449     506.46     265.70
19870731      0.0470      0.0449     530.26     277.63
19870831      0.0357      0.0321     549.19     286.55
19870930     -0.0206     -0.0228     537.86     280.01
19871030     -0.2181     -0.2203     420.53     218.31
19871130     -0.0750     -0.0795     389.00     200.95
19871231      0.0683      0.0650     415.56     214.01
19880129      0.0452      0.0433     434.35     223.27
19880229      0.0496      0.0433     455.88     232.95
19880331     -0.0224     -0.0252     445.68     227.08
19880429      0.0107      0.0087     450.43     229.06
19880531      0.0037     -0.0009     452.11     228.84
19880630      0.0489      0.0460     474.22     239.37
19880729     -0.0060     -0.0087     471.37     237.29
19880831     -0.0285     -0.0332     457.94     229.42
19880930      0.0380      0.0353     475.34     237.50
19881031      0.0223      0.0188     485.96     241.97
19881130     -0.0148     -0.0199     478.79     237.16
19881230      0.0198      0.0162     488.28     241.00
19890131      0.0674      0.0644     521.21     256.52
19890228     -0.0184     -0.0224     511.63     250.78
19890331      0.0215      0.0185     522.62     255.42
19890428      0.0476      0.0455     547.50     267.05
19890531      0.0385      0.0334     568.58     275.96
19890630     -0.0023     -0.0050     567.28     274.59
19890731      0.0820      0.0796     613.81     296.44
19890831      0.0201      0.0159     626.14     301.16
19890929     -0.0030     -0.0056     624.28     299.47
19891031     -0.0284     -0.0306     606.58     290.32
19891130      0.0199      0.0161     618.63     295.00
19891229      0.0212      0.0183     631.72     300.39
19900131     -0.0679     -0.0699     588.83     279.40
19900228      0.0134      0.0092     596.73     281.97
19900330      0.0235      0.0209     610.77     287.86
19900430     -0.0275     -0.0300     593.96     279.23
19900531      0.0884      0.0838     646.45     302.62
19900629     -0.0058     -0.0084     642.73     300.07
19900731     -0.0041     -0.0064     640.10     298.14
19900831     -0.0874     -0.0915     584.14     270.86
19900928     -0.0490     -0.0513     555.52     256.96
19901031     -0.0094     -0.0121     550.30     253.84
19901130      0.0628      0.0583     584.86     268.63
19901231      0.0281      0.0247     601.31     275.26
19910131      0.0421      0.0398     626.63     286.23
19910228      0.0731      0.0688     672.44     305.94
19910328      0.0244      0.0221     688.83     312.68
19910430      0.0029      0.0006     690.85     312.88
19910531      0.0400      0.0362     718.46     324.19
19910628     -0.0421     -0.0445     688.22     309.77
19910731      0.0453      0.0434     719.40     323.20
19910830      0.0240      0.0203     736.69     329.75
19910930     -0.0130     -0.0153     727.12     324.72
19911031      0.0157      0.0140     738.53     329.25
19911129     -0.0379     -0.0415     710.54     315.60
19911231      0.1051      0.1022     785.19     347.86
19920131     -0.0101     -0.0116     777.23     343.82
19920228      0.0119      0.0085     786.47     346.75
19920331     -0.0201     -0.0226     770.69     338.93
19920430      0.0224      0.0207     787.92     345.93
19920529      0.0056      0.0022     792.32     346.69
19920630     -0.0164     -0.0190     779.35     340.10
19920731      0.0406      0.0390     811.02     353.36
19920831     -0.0194     -0.0228     795.32     345.30
19920930      0.0090      0.0067     802.49     347.61
19921030      0.0069      0.0053     808.00     349.44
19921130      0.0343      0.0308     835.75     360.21
19921231      0.0147      0.0123     848.07     364.65
19930129      0.0098      0.0084     856.40     367.70
19930226      0.0123      0.0092     866.91     371.09
19930331      0.0245      0.0218     888.11     379.17
19930430     -0.0228     -0.0243     867.82     369.96
19930528      0.0249      0.0216     889.41     377.94
19930630      0.0052      0.0028     894.06     378.99
19930730     -0.0010     -0.0025     893.17     378.06
19930831      0.0374      0.0341     926.54     390.95
19930930     -0.0042     -0.0064     922.69     388.46
19931029      0.0173      0.0158     938.65     394.60
19931130     -0.0150     -0.0182     924.53     387.40
19931231      0.0181      0.0159     941.27     393.55
19940131      0.0315      0.0299     970.93     405.34
19940228     -0.0267     -0.0295     945.03     393.36
19940331     -0.0430     -0.0453     904.44     375.54
19940429      0.0140      0.0123     917.08     380.18
19940531      0.0108      0.0074     926.97     383.00
19940630     -0.0258     -0.0282     903.07     372.19
19940729      0.0322      0.0306     932.12     383.59
19940831      0.0393      0.0360     968.74     397.41
19940930     -0.0215     -0.0237     947.95     388.00
19941031      0.0141      0.0124     961.32     392.80
19941130     -0.0378     -0.0409     925.01     376.74
19941230      0.0146      0.0119     938.47     381.21
19950131      0.0233      0.0215     960.31     389.38
19950228      0.0373      0.0344     996.13     402.79
19950331      0.0266      0.0242    1022.60     412.52
19950428      0.0237      0.0221    1046.89     421.64
19950531      0.0356      0.0324    1084.14     435.32
19950630      0.0218      0.0197    1107.80     443.89
19950731      0.0345      0.0324    1146.02     458.26
19950831      0.0072      0.0043    1154.29     460.25
19950929      0.0391      0.0372    1199.47     477.37
19951031     -0.0120     -0.0135    1185.08     470.91
19951130      0.0471      0.0442    1240.84     491.73
19951229      0.0197      0.0176    1265.25     500.39
19960131      0.0327      0.0312    1306.62     515.99
19960229      0.0120      0.0096    1322.27     520.92
19960329      0.0127      0.0108    1339.07     526.53
19960430      0.0136      0.0122    1357.29     532.95
19960531      0.0227      0.0201    1388.17     543.67
19960628      0.0005     -0.0013    1388.83     542.98
19960731     -0.0457     -0.0474    1325.34     517.24
19960830      0.0275      0.0251    1361.75     530.22
19960930      0.0480      0.0460    1427.10     554.63
19961031      0.0193      0.0177    1454.66     564.45
19961129      0.0666      0.0643    1551.54     600.74
19961231     -0.0136     -0.0155    1530.40     591.41
19970131      0.0492      0.0480    1605.77     619.81
19970228      0.0108      0.0087    1623.06     625.22
19970331     -0.0403     -0.0422    1557.67     598.86
19970430      0.0447      0.0433    1627.24     624.77
19970530      0.0630      0.0609    1729.83     662.83
19970630      0.0469      0.0454    1811.00     692.89
19970731      0.0706      0.0690    1938.80     740.74
19970829     -0.0436     -0.0452    1854.31     707.28
19970930      0.0578      0.0561    1961.40     746.99
19971031     -0.0302     -0.0314    1902.17     723.50
19971128      0.0365      0.0348    1971.68     748.66
19971231      0.0253      0.0236    2021.62     766.34
19980130     -0.0009     -0.0019    2019.86     764.90
19980227      0.0686      0.0668    2158.41     816.03
19980331      0.0543      0.0528    2275.55     859.14
19980430      0.0095      0.0084    2297.19     866.32
19980529     -0.0191     -0.0206    2253.28     848.44
19980630      0.0252      0.0238    2310.14     868.68
19980731     -0.0255     -0.0266    2251.32     845.57
19980831     -0.1481     -0.1497    1917.87     719.03
19980930      0.0499      0.0481    2013.50     753.64
19981030      0.0810      0.0799    2176.69     813.82
19981130      0.0531      0.0515    2292.30     855.71
19981231      0.0484      0.0469    2403.35     895.85
19990129      0.0128      0.0119    2434.21     906.50
19990226     -0.0241     -0.0256    2375.45     883.31
19990331      0.0287      0.0272    2443.52     907.30
19990430      0.0530      0.0520    2573.13     954.51
19990528     -0.0185     -0.0206    2525.41     934.86
19990630      0.0424      0.0411    2632.40     973.26
19990730     -0.0344     -0.0355    2541.85     938.74
19990831     -0.0222     -0.0236    2485.36     916.55
19990930     -0.0299     -0.0314    2410.99     887.76
19991029      0.0571      0.0561    2548.72     937.61
19991130      0.0097      0.0082    2573.50     945.29
19991231      0.0336      0.0322    2659.98     975.72
20000131     -0.0420     -0.0429    2548.24     933.86
20000229     -0.0385     -0.0400    2450.15     896.48
20000331      0.0951      0.0936    2683.12     980.43
20000428     -0.0076     -0.0088    2662.69     971.82
20000531     -0.0015     -0.0032    2658.61     968.76
20000630      0.0026      0.0016    2665.63     970.30
20000731     -0.0002     -0.0012    2665.04     969.13
20000831      0.0575      0.0558    2818.36    1023.25
20000929     -0.0146     -0.0156    2777.28    1007.29
20001031      0.0012      0.0003    2780.68    1007.58
20001130     -0.0509     -0.0526    2639.01     954.59
20001229      0.0426      0.0413    2751.34     994.04
20010131      0.0140      0.0130    2789.85    1006.97
20010228     -0.0567     -0.0581    2631.64     948.44
20010330     -0.0501     -0.0512    2499.83     899.85
20010430      0.0674      0.0662    2668.31     959.39
20010531      0.0135      0.0118    2704.40     970.75
20010629     -0.0284     -0.0293    2627.54     942.28
20010731     -0.0056     -0.0068    2612.71     935.89
20010831     -0.0465     -0.0482    2491.29     890.82
20010928     -0.0726     -0.0739    2310.54     825.01
20011031      0.0059      0.0047    2324.07     828.85
20011130      0.0631      0.0614    2470.72     879.72
20011231      0.0198      0.0183    2519.77     895.85
20020131     -0.0181     -0.0193    2474.16     878.58
20020228     -0.0002     -0.0018    2473.74     876.96
20020328      0.0391      0.0380    2570.44     910.27
20020430     -0.0411     -0.0422    2464.85     871.89
20020531     -0.0033     -0.0050    2456.82     867.54
20020628     -0.0658     -0.0672    2295.21     809.22
20020731     -0.0788     -0.0800    2114.31     744.44
20020830      0.0115      0.0097    2138.64     751.66
20020930     -0.0980     -0.0996    1929.10     676.78
20021031      0.0622      0.0606    2049.13     717.76
20021129      0.0497      0.0478    2151.00     752.04
20021231     -0.0433     -0.0452    2057.88     718.04
20030131     -0.0258     -0.0272    2004.77     698.48
20030228     -0.0216     -0.0237    1961.41     681.94
20030331      0.0120      0.0103    1984.85     688.97
20030430      0.0803      0.0786    2144.32     743.14
20030530      0.0569      0.0549    2266.27     783.91
20030630      0.0164      0.0146    2303.39     795.32
20030731      0.0119      0.0103    2330.89     803.54
20030829      0.0205      0.0187    2378.66     818.58
20030930     -0.0085     -0.0103    2358.33     810.13
20031031      0.0546      0.0530    2487.21     853.06
20031128      0.0165      0.0147    2528.29     865.56
20031231      0.0520      0.0500    2659.79     908.86
